owner_older40,owner_male,num_livestock,years_edu,num_employees,grid_subsidy_amount,grid_connection,firm_revenue
1,0,2,9,1,150,0,11055.95
0,1,2,10,3,150,1,19540.05
0,1,0,6,2,200,0,10091.05
0,0,5,8,1,200,0,6820.209
0,1,0,9,2,50,0,10722.09
0,1,7,4,3,250,1,19885.01
0,1,3,9,4,100,1,20493.84
0,0,1,9,1,100,0,10778.89
0,0,5,6,1,50,0,10926.43
0,1,1,8,2,150,0,9415.026
1,0,2,6,0,200,0,8373.455
0,1,2,4,3,150,0,8496.796
0,0,3,8,5,200,0,7886.188
0,1,3,10,1,100,0,10594.41
0,1,5,7,2,250,0,7861.626
0,1,2,5,1,100,0,7026.556
0,1,1,9,1,200,0,8012.994
1,0,0,6,2,200,1,21021.54
0,0,0,8,0,50,0,9919.057
0,1,4,10,2,100,0,9548.778
0,1,1,5,2,250,0,7596.688
0,0,4,9,3,50,0,6645.73
0,0,3,9,1,100,0,8727.756
1,1,2,7,2,250,1,18148.48
0,1,3,5,5,200,1,18877.63
1,0,1,7,2,50,0,10252.47
0,1,6,6,2,50,0,4918.605
0,1,2,5,3,150,0,8479.866
0,0,2,7,1,150,0,7042.724
0,1,1,7,2,100,0,6778.282
1,0,7,9,0,100,1,20631.54
1,0,6,5,6,200,1,19523.29
0,1,0,8,0,50,0,11714.71
0,1,1,7,0,50,0,10564.93
0,1,2,5,1,250,0,7581.984
0,0,4,9,1,200,0,6988.948
0,1,5,10,3,100,1,20601.34
0,0,4,9,0,100,0,6811.345
0,0,0,7,1,200,0,5287.191
0,1,1,5,2,200,1,20229.93
0,0,1,7,3,100,0,5503.023
0,1,3,5,1,200,0,6816.505
1,1,0,7,1,150,0,10177.08
0,0,0,4,1,100,0,2752.323
0,1,1,7,1,250,1,20406.74
1,1,3,7,3,150,1,19983.18
1,0,1,6,1,200,1,19661.14
0,1,1,5,2,200,0,8146.769
0,0,0,10,1,50,0,5688.624
1,1,0,5,3,250,1,19419.49
0,0,3,7,4,50,0,3955.198
0,0,1,5,10,150,0,10771.85
0,0,3,7,3,200,1,20746.83
1,0,1,5,1,150,0,11083.22
0,1,3,4,1,200,0,9130.652
0,0,1,6,0,250,0,9416.136
1,1,1,5,3,150,0,10841.4
0,1,0,5,3,250,0,8116.158
0,0,2,5,2,200,0,8583.491
1,0,3,7,0,100,0,10644.81
0,0,2,9,0,200,0,6624.55
0,1,3,4,3,200,0,4028.002
0,1,2,8,2,50,0,6626.44
0,1,2,6,2,100,0,8560.605
0,0,5,6,4,100,0,6763.498
0,1,5,4,0,50,0,6495.811
0,1,9,10,7,150,0,9487.592
0,0,3,6,3,100,0,8868.61
0,1,8,7,2,50,0,9023.729
0,0,4,5,4,250,0,7239.104
1,1,3,5,1,150,1,29166.16
0,0,3,8,2,100,0,7485.664
0,1,0,6,1,50,0,7866.243
0,0,1,4,1,100,0,4891.37
0,0,4,9,0,50,0,7386.927
1,1,0,8,2,200,1,19525.43
0,0,1,5,3,50,0,6283.276
1,1,2,7,0,50,1,21430.7
0,1,0,10,1,100,0,6952.524
0,0,0,10,0,50,0,9172.633
0,1,3,8,2,50,0,8533.078
0,0,1,9,1,250,0,6856.999
0,1,3,4,1,100,1,21147.13
1,1,4,8,0,100,0,12160.64
1,0,1,10,4,50,0,9135.389
0,1,2,5,7,100,1,20269.68
1,0,1,5,2,50,1,22035.81
0,1,3,8,0,50,0,7368.306
0,0,0,8,0,200,1,19223.04
0,0,0,5,2,50,0,8988.469
1,0,1,8,4,200,1,24215.58
0,0,0,8,1,150,0,6190.784
0,1,2,7,1,250,0,9590.727
0,0,2,4,2,50,0,9147.984
0,1,3,6,3,50,0,7511.159
0,0,6,6,3,50,0,8698.394
0,0,1,10,3,100,1,20823.97
0,0,1,5,2,100,0,4026.618
1,0,0,6,0,100,1,20143.14
0,0,0,7,1,250,0,7081.175
0,0,2,6,1,200,0,6332.726
0,1,5,5,2,200,1,18908.06
0,1,1,4,1,100,0,7555.743
0,0,1,9,2,50,0,8497.761
0,0,6,9,1,100,0,8435.173
0,0,2,9,2,100,0,5264.283
0,1,2,6,5,200,0,5810.751
0,0,1,9,2,150,0,7990.81
0,0,3,9,2,100,0,5366.494
0,0,7,6,0,150,0,5506.26
1,1,4,8,1,150,0,10436.11
0,1,1,5,5,150,0,5492.258
0,1,4,4,3,50,0,8886.018
0,0,3,5,1,250,0,8749.364
